NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018
Tennessee,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010,9015,42109,53871,42151,47394,49982,54203,63783,61216,0.142051587,0.662580734,0.842075152,0.653374113,0.729875973,0.764154252,0.822402959,0.959862971,0.912473986
Texas,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845,96565,403548,443393,399844,487678,509672,450678,385225,379128,0.384015598,1.598673421,1.728881991,1.532578857,1.841026304,1.889273519,1.639615272,1.378881827,1.338600389
Utah,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105,11443,38882,39251,44460,39472,45098,60116,60505,57987,0.414017774,1.40098453,1.394740134,1.558104579,1.362077099,1.535303852,2.015626504,1.988586784,1.868668868
Vermont,625880,626979,626063,626212,625218,625197,623644,624525,626299,136,1099,-916,149,-994,-21,-1553,881,1774,0.021734128,0.175592765,-0.146097397,0.023799522,-0.158732187,-0.003358828,-0.248401704,0.141266492,0.284055883
Virginia,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685,22625,76789,84760,67824,59023,50831,48039,54261,52478,0.282775209,0.957029692,1.046359168,0.828614569,0.715165648,0.611531945,0.574429442,0.645123628,0.619925774
Washington,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591,18362,78753,71221,70030,89533,111104,131137,130752,110159,0.27305957,1.167939264,1.044042831,1.015976495,1.285856796,1.575398242,1.830616498,1.792429551,1.483536581
West Virginia,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832,1213,1860,690,-2891,-4406,-7471,-11067,-13881,-11216,0.065461379,0.100312046,0.037175242,-0.155700994,-0.237664608,-0.40395422,-0.600815637,-0.75813972,-0.617264926
Wisconsin,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568,3197,14276,15100,17097,15022,9432,11552,19093,21517,0.056213144,0.25087519,0.264691472,0.298906179,0.26184636,0.163978488,0.200506612,0.330731663,0.371491895
Wyoming,564483,567224,576270,582123,582548,585668,584290,578934,577737,710,2741,9046,5853,425,3120,-1378,-5356,-1197,0.125937212,0.485577068,1.594784424,1.015669738,0.073008625,0.535578184,-0.235286886,-0.916668093,-0.20675932
Puerto Rico,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153,-4632,-42793,-44244,-41411,-58203,-61708,-66671,-81494,-129848,-0.124310382,-1.149878074,-1.202697016,-1.139390197,-1.619865091,-1.745691643,-1.919603037,-2.392312333,-3.905201833
